Municipality,Type,County,Population (2020),Year Incorporated
Chester,Town,Penobscot,549,1834
Robbinston,Town,Washington,539,1811
Bridgewater,Town,Aroostook,532,1858
Marshfield,Town,Washington,528,1846
Temple,Town,Franklin,527,1803
Alexander,Town,Washington,525,1825
Cutler,Town,Washington,524,1826
Wallagrass,Town,Aroostook,519,1979
Carthage,Town,Franklin,509,1826
Verona Island,Town,Hancock,507,1839
Chapman,Town,Aroostook,491,1874
Ripley,Town,Somerset,484,1816
Whiting,Town,Washington,482,1825
Arrowsic,Town,Sagadahoc,477,1841
Columbia Falls,Town,Washington,476,1863
Moscow,Town,Somerset,475,1816
Mariaville,Town,Hancock,472,1836
Winter Harbor,Town,Hancock,461,1895
Westfield,Town,Aroostook,455,1905
Avon,Town,Franklin,450,1802
Cambridge,Town,Somerset,443,1834
Beals,Town,Washington,443,1925
Smyrna,Town,Aroostook,439,1839
St. Francis,Town,Aroostook,438,1875
Columbia,Town,Washington,435,1796
Ludlow,Town,Aroostook,434,1864
Eastbrook,Town,Hancock,424,1837
North Haven,Town,Knox,417,1846
Newry,Town,Oxford,411,1805
Sweden,Town,Oxford,406,1813
Winn,Town,Penobscot,399,1857
Chebeague Island,Town,Cumberland,396,2007
Stow,Town,Oxford,393,1833
Stacyville,Town,Penobscot,380,1860
Weld,Town,Franklin,376,1816
Castle Hill,Town,Aroostook,373,1903
Burlington,Town,Penobscot,373,1832
Perham,Town,Aroostook,371,1867
Lowell,Town,Penobscot,368,1837
Grand Isle,Town,Aroostook,366,1869
Roxbury,Town,Oxford,361,1835
Portage Lake,Town,Aroostook,359,1909
Passadumkeag,Town,Penobscot,356,1835
Swan's Island,Town,Hancock,355,1897
Charlotte,Town,Washington,337,1825
Waltham,Town,Hancock,332,1833
New Canada,Town,Aroostook,310,1881
Dallas Plantation,Plantation,Franklin,304,1845
Dennysville,Town,Washington,300,1818
Wade,Town,Aroostook,299,1913
Roque Bluffs,Town,Washington,296,1891
Springfield,Town,Penobscot,293,1834
Caswell,Town,Aroostook,293,1878
Hanover,Town,Oxford,286,1843
Sorrento,Town,Hancock,279,1895
St. John Plantation,Plantation,Aroostook,263,1874
Stoneham,Town,Oxford,261,1834
Amity,Town,Aroostook,253,1836
Shirley,Town,Piscataquis,251,1834
Stockholm,Town,Aroostook,250,1911
Crystal,Town,Aroostook,248,1878
Amherst,Town,Hancock,248,1831
Weston,Town,Aroostook,245,1835
Allagash,Town,Aroostook,237,1885
Long Island,Town,Cumberland,234,1993
Medford,Town,Piscataquis,230,1824
Wellington,Town,Piscataquis,229,1828
Dyer Brook,Town,Aroostook,215,1858
Merrill,Town,Aroostook,208,1876
Masardis,Town,Aroostook,204,1839
Whitneyville,Town,Washington,202,1845
Woodville,Town,Penobscot,201,1895
Baring Plantation,Plantation,Washington,201,1825
Gilead,Town,Oxford,195,1804
Winterville Plantation,Plantation,Aroostook,194,1884
Moose River,Town,Somerset,188,1903
Mount Chase,Town,Penobscot,187,1864
Rangeley Plantation,Plantation,Franklin,184,1895
Topsfield,Town,Washington,179,1838
Northfield,Town,Washington,178,1838
Cooper,Town,Washington,168,1822
Hamlin,Town,Aroostook,166,1859
Cranberry Isles,Town,Hancock,160,1830
Orient,Town,Aroostook,156,1856
Lake View Plantation,Plantation,Piscataquis,150,1892
Meddybemps,Town,Washington,139,1841
Carroll Plantation,Plantation,Penobscot,138,1845
Bowerbank,Town,Piscataquis,136,1907
Willimantic,Town,Piscataquis,134,1881
Edinburg,Town,Penobscot,134,1835
Beaver Cove,Town,Piscataquis,133,1975
Coplin Plantation,Plantation,Franklin,131,1866
Reed Plantation,Plantation,Aroostook,129,1843
Sandy River Plantation,Plantation,Franklin,128,1905
Grand Lake Stream,Plantation,Washington,125,1897
Wesley,Town,Washington,122,1833
Lakeville,Town,Penobscot,104,1868
Byron,Town,Oxford,103,1833
Vanceboro,Town,Washington,102,1871
Haynesville,Town,Aroostook,97,1876
Crawford,Town,Washington,93,1828
Aurora,Town,Hancock,93,1831
Isle au Haut,Town,Knox,92,1874
Hammond,Town,Aroostook,91,1885
Maxfield,Town,Penobscot,89,1840
Pleasant Ridge Plantation,Plantation,Somerset,85,1840
Caratunk,Town,Somerset,81,1840
Westmanland,Town,Aroostook,79,1870
Garfield Plantation,Plantation,Aroostook,79,1885
Cyr Plantation,Plantation,Aroostook,78,1870
Deblois,Town,Washington,74,1852
Hersey,Town,Aroostook,73,1873
Talmadge,Town,Washington,70,1875
Upton,Town,Oxford,69,1860
Webster Plantation,Plantation,Penobscot,68,1856
Waite,Town,Washington,66,1876
Osborn,Town,Hancock,65,1976
Monhegan,Plantation,Lincoln,64,1839
Macwahoc Plantation,Plantation,Aroostook,62,1844
Brighton Plantation,Plantation,Somerset,62,1816
Great Pond,Town,Hancock,61,1840
Dennistown Plantation,Plantation,Somerset,61,1873
Beddington,Town,Washington,60,1833
West Forks,Plantation,Somerset,58,1893
Matinicus Isle,Plantation,Knox,53,1840
Highland Plantation,Plantation,Somerset,52,1886
The Forks,Plantation,Somerset,48,1840
Moro Plantation,Plantation,Aroostook,44,1891
Lincoln Plantation,Plantation,Oxford,41,1875
Seboeis Plantation,Plantation,Penobscot,40,1890
Frye Island,Town,Cumberland,32,1998
Frenchboro,Town,Hancock,29,1979
Kingsbury Plantation,Plantation,Piscataquis,28,1836
Nashville Plantation,Plantation,Aroostook,27,1895
Glenwood Plantation,Plantation,Aroostook,5,1863
